old_name,new_name,new_description,img,img-path,type,tier
Gambeson Armor,Impact-Padded Street Vest,"A padded street vest with shock-absorbing gel plates—cheap insurance against fists, batons, and stray shrapnel.",impact-padded-street-vest.webp,modules/cybermancy/assets/icons/armors/impact-padded-street-vest.webp,armor,1
Leather Armor,KevFlex Jacket,Lightweight synthetic leather threaded with flexible Kevlar weave—keeps you quick without feeling naked.,kevflex-jacket.webp,modules/cybermancy/assets/icons/armors/kevflex-jacket.webp,armor,1
Chainmail Armor,Slash-Resistant Polymer Jacket,Medium-weight body armor woven from advanced polymer rings designed to resist slashes and punctures—perfect for Megatropolis alleys.,slash-resistant-polymer-jacket.webp,modules/cybermancy/assets/icons/armors/slash-resistant-polymer-jacket.webp,armor,1
Full Plate Armor,Composite Riot Carapace,"Full-coverage composite plating over impact mesh. Heavy, loud, and built to walk through riots.",composite-riot-carapace.webp,modules/cybermancy/assets/icons/armors/composite-riot-carapace.webp,armor,1
Improved Gambeson Armor,Reinforced Street Vest,"Up-armored padding with denser gels and better dispersion. Looks cheap, works miracles.",reinforced-street-vest.webp,modules/cybermancy/assets/icons/armors/reinforced-street-vest.webp,armor,1
Improved Leather Armor,KevFlex Jacket Mk II,"Upgraded synthetic leather with doubled Kevlar threading—lightweight, better seams, cleaner lines.",kevflex-jacket-mk-ii.webp,modules/cybermancy/assets/icons/armors/kevflex-jacket-mk-ii.webp,armor,2
Improved Chainmail Armor,Advanced Slash-Resistant Jacket,Polymer-link weave with ceramic micro-scales; shrugs off knives and claws.,advanced-slash-resistant-jacket.webp,modules/cybermancy/assets/icons/armors/advanced-slash-resistant-jacket.webp,armor,2
Improved Full Plate Armor,Enhanced Riot Carapace,"Optimized riot carapace with servo assists at the knees and shoulders—still heavy, now meaner.",enhanced-riot-carapace.webp,modules/cybermancy/assets/icons/armors/enhanced-riot-carapace.webp,armor,2
Elundrian Chain Armor,Arc-Shield Mesh,Conductive mesh grounded through the lining that bleeds off hostile charge and arc magic.,arc-shield-mesh.webp,modules/cybermancy/assets/icons/armors/arc-shield-mesh.webp,armor,2
Harrowbone Armor,Auto-Heal Laminate,"Self-tightening fibers that cinch when stressed, buying you precious seconds before a breach.",auto-heal-laminate.webp,modules/cybermancy/assets/icons/armors/auto-heal-laminate.webp,armor,2
Irontree Breastplate Armor,CeramSteel Chest Rig,Ceramic-steel sandwich paneling that hardens under impact—your torso becomes a problem for bullets.,ceramsteel-chest-rig.webp,modules/cybermancy/assets/icons/armors/ceramsteel-chest-rig.webp,armor,3
