name,prompt
Corp 01,"photorealistic cyberpunk circular token portrait of a mid-level corporate analyst, clean haircut, subtle neural implant at temple, tailored suit; centered face and shoulders; cool blue-white rim lighting; circular border; transparent background outside the ring; no environment"
Corp 02,"photorealistic cyberpunk circular token portrait of a senior executive woman, sharp features, platinum hair, gold cybernetic eye implant, luxury suit; centered portrait; warm gold rim lighting; circular border; transparent background; no environment"
Corp 03,"photorealistic cyberpunk circular token portrait of a corporate security officer, shaved head, reinforced jaw implant, dark tactical blazer; centered; cold blue lighting; circular border; transparent background; no environment"
Corp 04,"photorealistic cyberpunk circular token portrait of a junior office worker, nervous expression, basic AR glasses, cheap synth-fabric suit; centered; neutral white lighting; circular border; transparent background; no environment"
Corp 05,"photorealistic cyberpunk circular token portrait of a biotech researcher, pale complexion, glowing ocular data overlay, labcoat collar visible; centered; green-blue rim lighting; circular border; transparent background; no environment"
Corp 06,"photorealistic cyberpunk circular token portrait of a corporate lawyer, immaculate hair, subtle subdermal data ports, formal suit; centered; cool white lighting; circular border; transparent background; no environment"
Corp 07,"photorealistic cyberpunk circular token portrait of a cybernetics engineer, augmented eyes, interface plugs behind ear, worn professional attire; centered; teal lighting; circular border; transparent background; no environment"
Corp 08,"photorealistic cyberpunk circular token portrait of a high-ranking executive man, silver hair, polished chrome temple implant, confident expression; centered; gold-blue rim lighting; circular border; transparent background; no environment"
Corp 09,"photorealistic cyberpunk circular token portrait of a corporate intern, youthful face, minimal augmentations, slightly oversized suit; centered; soft white lighting; circular border; transparent background; no environment"
Corp 10,"photorealistic cyberpunk circular token portrait of a data scientist, tired eyes, holographic contact lenses, rumpled formal wear; centered; cool blue lighting; circular border; transparent background; no environment"
Corp 11,"photorealistic cyberpunk circular token portrait of a corporate fixer, scar across cheek, discreet cyber-audio implant, expensive jacket; centered; low warm lighting; circular border; transparent background; no environment"
Corp 12,"photorealistic cyberpunk circular token portrait of a receptionist, perfect smile, cosmetic facial augments, sleek uniform; centered; soft pink-white lighting; circular border; transparent background; no environment"
Corp 13,"photorealistic cyberpunk circular token portrait of a financial controller, stern face, retinal data overlays faintly visible, conservative suit; centered; cool white lighting; circular border; transparent background; no environment"
Corp 14,"photorealistic cyberpunk circular token portrait of a corporate spy disguised as employee, subtle facial disguise implants, unreadable expression; centered; shadowed blue lighting; circular border; transparent background; no environment"
Corp 15,"photorealistic cyberpunk circular token portrait of a human resources manager, warm expression, minimal cyberware, polished professional attire; centered; neutral lighting; circular border; transparent background; no environment"
Corp 16,"photorealistic cyberpunk circular token portrait of a cyber-security specialist, dark eye circles, multi-layer retinal HUD glow, utilitarian clothing; centered; teal-blue lighting; circular border; transparent background; no environment"
Corp 17,"photorealistic cyberpunk circular token portrait of a biotech executive, glowing subdermal veins, elegant attire, composed expression; centered; green-gold lighting; circular border; transparent background; no environment"
Corp 18,"photorealistic cyberpunk circular token portrait of a compliance officer, rigid posture, facial micro-scanner implant, plain suit; centered; cool white lighting; circular border; transparent background; no environment"
Corp 19,"photorealistic cyberpunk circular token portrait of a logistics coordinator, slightly disheveled, augmented eye for tracking data, practical clothing; centered; soft blue lighting; circular border; transparent background; no environment"
Corp 20,"photorealistic cyberpunk circular token portrait of a corporate assassin posing as staff, calm expression, hidden augment seams along jawline; centered; dim blue lighting; circular border; transparent background; no environment"
Corp 21,"photorealistic cyberpunk circular token portrait of a marketing executive, styled hair, cosmetic neon accents, high-fashion business attire; centered; pink-blue lighting; circular border; transparent background; no environment"
Corp 22,"photorealistic cyberpunk circular token portrait of an AI liaison specialist, subtle neural crown implant, distant gaze, sleek attire; centered; violet-blue lighting; circular border; transparent background; no environment"
Corp 23,"photorealistic cyberpunk circular token portrait of a corporate doctor, sterile expression, medical-grade cyber-eyes, white collar visible; centered; cool white lighting; circular border; transparent background; no environment"
Corp 24,"photorealistic cyberpunk circular token portrait of a procurement manager, calculating look, data-scroll reflected in eyes, conservative attire; centered; neutral lighting; circular border; transparent background; no environment"
Corp 25,"photorealistic cyberpunk circular token portrait of a middle manager, tired expression, minor augmentations, standard corporate suit; centered; soft white lighting; circular border; transparent background; no environment"
Corp 26,"photorealistic cyberpunk circular token portrait of a cyber-augmented executive assistant, discreet implants, efficient demeanor, sleek attire; centered; cool blue lighting; circular border; transparent background; no environment"
Corp 27,"photorealistic cyberpunk circular token portrait of a corporate auditor, sharp gaze, embedded ocular scanner, formal attire; centered; cold white lighting; circular border; transparent background; no environment"
Corp 28,"photorealistic cyberpunk circular token portrait of a research director, intense expression, heavy neural implants along scalp, formal attire; centered; green-blue lighting; circular border; transparent background; no environment"
Corp 29,"photorealistic cyberpunk circular token portrait of a corporate enforcer in civilian attire, muscular build, visible subdermal armor lines; centered; dim teal lighting; circular border; transparent background; no environment"
Corp 30,"photorealistic cyberpunk circular token portrait of a junior programmer, focused expression, budget neural jack, casual-business clothing; centered; soft blue lighting; circular border; transparent background; no environment"
