enabled,record_id,family,asset_kind,preset_family,parent_id,parent_name,name,slug,source_dataset,source_feature_id,source_section,source_extraction_status,source_confidence,geometry_type,atlas_category,substyle,aspect_ratio,size,quality,transparent_background,source_summary,subject_brief,prompt_notes,negative_notes,prompt,output_filename,selection_notes
true,region-101-seattle,region,primary,regionEnvironment,,,Seattle,seattle,regions.geojson,101,Seattle Atlas,canonical-geojson,high,Polygon,CITY-STATE,civic,3:2,1536x1024,medium,false,"Seattle survived because it remained useful enough to save. Its brilliant corporate core is surrounded by districts preserved through municipal inertia, neighborhood cohesion, local power, or luck. Status: Corporate metropolis. Known for: Council arcologies and protected infrastructure. Access: Guarded roads, ferries, and controlled airspace.","A high panoramic view from Puget Sound toward the surviving city: dark water and working ferries in the foreground, a brilliant guarded downtown core, dimmer inhabited districts spreading outward, industrial southern approaches, and Lake Washington visible beyond. Make the contrast between curated corporate prosperity and stubborn neighborhood survival legible without turning the image into a map.",Use public atlas canon only. Preserve recognizable Puget Sound geography and the subject's relationship to adjacent districts or routes.,"do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena","Create original Cybermancy lore artwork for Seattle, a cinematic regional establishing image. Canonical context: Seattle survived because it remained useful enough to save. Its brilliant corporate core is surrounded by districts preserved through municipal inertia, neighborhood cohesion, local power, or luck. Status: Corporate metropolis. Known for: Council arcologies and protected infrastructure. Access: Guarded roads, ferries, and controlled airspace. Visual direction: A high panoramic view from Puget Sound toward the surviving city: dark water and working ferries in the foreground, a brilliant guarded downtown core, dimmer inhabited districts spreading outward, industrial southern approaches, and Lake Washington visible beyond. Make the contrast between curated corporate prosperity and stubborn neighborhood survival legible without turning the image into a map. Use a grounded semi-photorealistic Cybermancy aesthetic: believable near-future cyberpunk, lived-in human activity, functional technology, physically plausible architecture and materials, visible maintenance and repair, muted charcoal and steel colors, cool teal-blue ambient light, restrained amber-orange practical light, Seattle atmospheric depth, readable shadows, and selective technological or Resonance glow only where motivated. Compose as a 3:2 landscape environment suitable for an atlas lore panel, with a clear focal structure, foreground human scale, midground activity, and geographic context in the background. Avoid: do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena; text, captions, logos, readable signage, labels, maps, diagrams, borders, stat blocks, UI or HUD overlays, pseudo-writing, copyrighted character likenesses, cartoon or anime treatment, superhero styling, generic space-marine imagery, glossy plastic, excessive chrome, rainbow neon, unexplained glowing clutter, sterile utopian futurism, muddy darkness, or an uninhabited generic cyberpunk city.",region-seattle.webp,Generated from regions.geojson feature 101; GM notes intentionally excluded from image prompt.
true,region-102-everett-bastion,region,primary,regionEnvironment,,,Everett Bastion,everett-bastion,regions.geojson,102,Seattle Atlas,canonical-geojson,high,Polygon,INDEPENDENT CITY-STATE,industrial,3:2,1536x1024,medium,false,"Everett's aerospace factories, port infrastructure, and former naval presence gave it enough industrial capacity to remain viable and politically distinct from Seattle. Status: Northern industrial power. Known for: Aerospace, heavy fabrication, and guarded port facilities. Access: Protected I-5 commerce corridor.","A broad view across a guarded northern port and aerospace manufacturing city: cranes, dry docks, immense weathered assembly halls, fortified logistics yards, and a few maintained aircraft silhouettes beneath cold Sound weather. Convey independent industrial capacity and disciplined defense rather than corporate luxury.",Use public atlas canon only. Preserve recognizable Puget Sound geography and the subject's relationship to adjacent districts or routes.,"do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena","Create original Cybermancy lore artwork for Everett Bastion, a cinematic regional establishing image. Canonical context: Everett's aerospace factories, port infrastructure, and former naval presence gave it enough industrial capacity to remain viable and politically distinct from Seattle. Status: Northern industrial power. Known for: Aerospace, heavy fabrication, and guarded port facilities. Access: Protected I-5 commerce corridor. Visual direction: A broad view across a guarded northern port and aerospace manufacturing city: cranes, dry docks, immense weathered assembly halls, fortified logistics yards, and a few maintained aircraft silhouettes beneath cold Sound weather. Convey independent industrial capacity and disciplined defense rather than corporate luxury. Use a grounded semi-photorealistic Cybermancy aesthetic: believable near-future cyberpunk, lived-in human activity, functional technology, physically plausible architecture and materials, visible maintenance and repair, muted charcoal and steel colors, cool teal-blue ambient light, restrained amber-orange practical light, Seattle atmospheric depth, readable shadows, and selective technological or Resonance glow only where motivated. Compose as a 3:2 landscape environment suitable for an atlas lore panel, with a clear focal structure, foreground human scale, midground activity, and geographic context in the background. Avoid: do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena; text, captions, logos, readable signage, labels, maps, diagrams, borders, stat blocks, UI or HUD overlays, pseudo-writing, copyrighted character likenesses, cartoon or anime treatment, superhero styling, generic space-marine imagery, glossy plastic, excessive chrome, rainbow neon, unexplained glowing clutter, sterile utopian futurism, muddy darkness, or an uninhabited generic cyberpunk city.",region-everett-bastion.webp,Generated from regions.geojson feature 102; GM notes intentionally excluded from image prompt.
true,region-103-tacoma,region,primary,regionEnvironment,,,Tacoma,tacoma,regions.geojson,103,Seattle Atlas,canonical-geojson,high,Polygon,DE FACTO INDEPENDENT STATE,civic,3:2,1536x1024,medium,false,"Tacoma is a de facto independent metahuman state organized around military service and control of the region's primary deepwater port. Seattle refuses formal recognition, but commerce and mutual dependence sustain an armed cessation rather than a peace treaty. Status: Metahuman-led military republic in an armed cessation with Seattle. Known for: Deepwater shipping, military service citizenship, logistics, and political independence. Access: The Port of Tacoma, through traffic on I-5, and a porous defensive zone near Fife and Milton. Governance: The Tacoma Ephorate, or the Five, divides authority among ground defense, harbor and naval forces, intelligence, logistics and infrastructure, and civil defense. Communities: Citizens who earned status through military service, non-citizen residents, veterans, port workers, and metahuman families. Organizations: Tacoma Ephorate, Black Helix, Empty Seats, and the port authorities. Connections: International deepwater trade, Black Helix convoy security, and guarded commerce with Seattle along I-5.","A commanding view over Tacoma's deepwater port and steep urban slopes: container cranes, military logistics, working neighborhoods, harbor patrol craft, and restrained defensive works integrated into civic life. Show a metahuman-led republic sustained by service and trade, not a besieged military camp.",Use public atlas canon only. Preserve recognizable Puget Sound geography and the subject's relationship to adjacent districts or routes.,"do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena","Create original Cybermancy lore artwork for Tacoma, a cinematic regional establishing image. Canonical context: Tacoma is a de facto independent metahuman state organized around military service and control of the region's primary deepwater port. Seattle refuses formal recognition, but commerce and mutual dependence sustain an armed cessation rather than a peace treaty. Status: Metahuman-led military republic in an armed cessation with Seattle. Known for: Deepwater shipping, military service citizenship, logistics, and political independence. Access: The Port of Tacoma, through traffic on I-5, and a porous defensive zone near Fife and Milton. Governance: The Tacoma Ephorate, or the Five, divides authority among ground defense, harbor and naval forces, intelligence, logistics and infrastructure, and civil defense. Communities: Citizens who earned status through military service, non-citizen residents, veterans, port workers, and metahuman families. Organizations: Tacoma Ephorate, Black Helix, Empty Seats, and the port authorities. Connections: International deepwater trade, Black Helix convoy security, and guarded commerce with Seattle along I-5. Visual direction: A commanding view over Tacoma's deepwater port and steep urban slopes: container cranes, military logistics, working neighborhoods, harbor patrol craft, and restrained defensive works integrated into civic life. Show a metahuman-led republic sustained by service and trade, not a besieged military camp. Use a grounded semi-photorealistic Cybermancy aesthetic: believable near-future cyberpunk, lived-in human activity, functional technology, physically plausible architecture and materials, visible maintenance and repair, muted charcoal and steel colors, cool teal-blue ambient light, restrained amber-orange practical light, Seattle atmospheric depth, readable shadows, and selective technological or Resonance glow only where motivated. Compose as a 3:2 landscape environment suitable for an atlas lore panel, with a clear focal structure, foreground human scale, midground activity, and geographic context in the background. Avoid: do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena; text, captions, logos, readable signage, labels, maps, diagrams, borders, stat blocks, UI or HUD overlays, pseudo-writing, copyrighted character likenesses, cartoon or anime treatment, superhero styling, generic space-marine imagery, glossy plastic, excessive chrome, rainbow neon, unexplained glowing clutter, sterile utopian futurism, muddy darkness, or an uninhabited generic cyberpunk city.",region-tacoma.webp,Generated from regions.geojson feature 103; GM notes intentionally excluded from image prompt.
true,region-104-silicon-wilds,region,primary,regionEnvironment,,,Silicon Wilds,silicon-wilds,regions.geojson,104,Seattle Atlas,canonical-geojson,high,Polygon,RECLAIMED TECHNOLOGY ZONE,frontier,3:2,1536x1024,medium,false,"Strictly east of Lake Washington, the Silicon Wilds are a patchwork of surviving enclaves, abandoned towers, server vaults, salvage zones, frontier communities, and half-functioning systems. Mercer Island is culturally and operationally tied to the Wilds, though it lies outside the geographic boundary. The eastern edge has no hard line and gradually becomes Cascadia. Status: Eastside frontier of independent settlements, ruins, and salvage zones. Known for: Kirkland Downs, Badvue, Forgetown, Fool's End, overgrown campuses, AI remnants, and salvage. Access: Lake Washington ferries through Meridian, I-405 and SR-520 corridors, or hazardous northern approaches. Governance: No regional government; settlement councils, house compacts, entrepreneurs, and fortified local rulers govern their own territory. Communities: Fishing and agricultural enclaves, casino workers, salvagers, frontier traders, manufacturers, and fortified settlers. Organizations: Soundline Co-op, Crosswake Marine, Lucky Crossing, Badvue's house compact, and Marshal Tamsin Rook's Fool's End. Connections: Meridian ferries feed the Eastside; I-405 links Kirkland Downs, Badvue, and Forgetown; SR-520 runs toward Fool's End; the frontier fades east into Cascadia.","An Eastside frontier panorama strictly east of Lake Washington: abandoned glass towers overtaken by vegetation, repaired settlements among earthquake ruins, salvage teams, patched utility lines, and half-functioning campus infrastructure. Lake Washington should form the western edge; Mercer Island must not be presented as part of the land territory.",Use public atlas canon only. Preserve recognizable Puget Sound geography and the subject's relationship to adjacent districts or routes.,"do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena; do not place Silicon Wilds territory west of Lake Washington or merge Mercer Island into its geographic boundary; do not invent a featured monster, named entity, or settled cause","Create original Cybermancy lore artwork for Silicon Wilds, a cinematic regional establishing image. Canonical context: Strictly east of Lake Washington, the Silicon Wilds are a patchwork of surviving enclaves, abandoned towers, server vaults, salvage zones, frontier communities, and half-functioning systems. Mercer Island is culturally and operationally tied to the Wilds, though it lies outside the geographic boundary. The eastern edge has no hard line and gradually becomes Cascadia. Status: Eastside frontier of independent settlements, ruins, and salvage zones. Known for: Kirkland Downs, Badvue, Forgetown, Fool's End, overgrown campuses, AI remnants, and salvage. Access: Lake Washington ferries through Meridian, I-405 and SR-520 corridors, or hazardous northern approaches. Governance: No regional government; settlement councils, house compacts, entrepreneurs, and fortified local rulers govern their own territory. Communities: Fishing and agricultural enclaves, casino workers, salvagers, frontier traders, manufacturers, and fortified settlers. Organizations: Soundline Co-op, Crosswake Marine, Lucky Crossing, Badvue's house compact, and Marshal Tamsin Rook's Fool's End. Connections: Meridian ferries feed the Eastside; I-405 links Kirkland Downs, Badvue, and Forgetown; SR-520 runs toward Fool's End; the frontier fades east into Cascadia. Visual direction: An Eastside frontier panorama strictly east of Lake Washington: abandoned glass towers overtaken by vegetation, repaired settlements among earthquake ruins, salvage teams, patched utility lines, and half-functioning campus infrastructure. Lake Washington should form the western edge; Mercer Island must not be presented as part of the land territory. Use a grounded semi-photorealistic Cybermancy aesthetic: believable near-future cyberpunk, lived-in human activity, functional technology, physically plausible architecture and materials, visible maintenance and repair, muted charcoal and steel colors, cool teal-blue ambient light, restrained amber-orange practical light, Seattle atmospheric depth, readable shadows, and selective technological or Resonance glow only where motivated. Compose as a 3:2 landscape environment suitable for an atlas lore panel, with a clear focal structure, foreground human scale, midground activity, and geographic context in the background. Avoid: do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena; do not place Silicon Wilds territory west of Lake Washington or merge Mercer Island into its geographic boundary; do not invent a featured monster, named entity, or settled cause; text, captions, logos, readable signage, labels, maps, diagrams, borders, stat blocks, UI or HUD overlays, pseudo-writing, copyrighted character likenesses, cartoon or anime treatment, superhero styling, generic space-marine imagery, glossy plastic, excessive chrome, rainbow neon, unexplained glowing clutter, sterile utopian futurism, muddy darkness, or an uninhabited generic cyberpunk city.",region-silicon-wilds.webp,Generated from regions.geojson feature 104; GM notes intentionally excluded from image prompt.
true,region-105-cascade-approaches,region,primary,regionEnvironment,,,Cascade Approaches,cascade-approaches,regions.geojson,105,Seattle Atlas,canonical-geojson,high,Polygon,CONTESTED FRONTIER,uncanny,3:2,1536x1024,medium,false,"Corporate authority thins east of the surviving metropolitan corridor. Roads decay into defended routes between cohesive settlements, dangerous wilderness, and territories whose boundaries are not merely political. Status: Fragmented local control. Known for: Independent settlements and Resonance anomalies. Access: Expedition travel beyond the last checkpoints.","A long view eastward where broken metropolitan roads dissolve into forested foothills, defended settlements, collapsed interchanges, and distant Cascade mountains. Add one restrained Resonance anomaly at the edge of perception while keeping the road, weather, ecology, and human defenses physically believable.",Use public atlas canon only. Preserve recognizable Puget Sound geography and the subject's relationship to adjacent districts or routes.,"do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena; do not invent a featured monster, named entity, or settled cause","Create original Cybermancy lore artwork for Cascade Approaches, a cinematic regional establishing image. Canonical context: Corporate authority thins east of the surviving metropolitan corridor. Roads decay into defended routes between cohesive settlements, dangerous wilderness, and territories whose boundaries are not merely political. Status: Fragmented local control. Known for: Independent settlements and Resonance anomalies. Access: Expedition travel beyond the last checkpoints. Visual direction: A long view eastward where broken metropolitan roads dissolve into forested foothills, defended settlements, collapsed interchanges, and distant Cascade mountains. Add one restrained Resonance anomaly at the edge of perception while keeping the road, weather, ecology, and human defenses physically believable. Use a grounded semi-photorealistic Cybermancy aesthetic: believable near-future cyberpunk, lived-in human activity, functional technology, physically plausible architecture and materials, visible maintenance and repair, muted charcoal and steel colors, cool teal-blue ambient light, restrained amber-orange practical light, Seattle atmospheric depth, readable shadows, and selective technological or Resonance glow only where motivated. Compose as a 3:2 landscape environment suitable for an atlas lore panel, with a clear focal structure, foreground human scale, midground activity, and geographic context in the background. Avoid: do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena; do not invent a featured monster, named entity, or settled cause; text, captions, logos, readable signage, labels, maps, diagrams, borders, stat blocks, UI or HUD overlays, pseudo-writing, copyrighted character likenesses, cartoon or anime treatment, superhero styling, generic space-marine imagery, glossy plastic, excessive chrome, rainbow neon, unexplained glowing clutter, sterile utopian futurism, muddy darkness, or an uninhabited generic cyberpunk city.",region-cascade-approaches.webp,Generated from regions.geojson feature 105; GM notes intentionally excluded from image prompt.
true,district-1-corporate-core,district,primary,districtEnvironment,region-101-seattle,Seattle,Corporate Core,corporate-core,districts.geojson,1,Seattle Atlas,canonical-geojson,high,Polygon,SEATTLE DISTRICT,corporate,3:2,1536x1024,medium,false,"The pristine Seattle shown on corporate feeds: towers, luxury arcologies, corporate hotels, immaculate public spaces, security drones, and the surviving institutions of civic government. Status: Council-controlled. Known for: Arcologies, luxury towers, and curated civic space. Access: Credentialed transit and dense surveillance.","A precise street-level canyon of maintained towers and luxury arcologies, immaculate public space, discreet security drones, credentialed transit, and small human figures moving under quiet surveillance. Power should read through cleanliness, scale, and restraint rather than excessive signage or ornament.",Use public atlas canon only. Preserve recognizable Puget Sound geography and the subject's relationship to adjacent districts or routes.,"do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena","Create original Cybermancy lore artwork for Corporate Core, a cinematic district establishing image. Canonical context: The pristine Seattle shown on corporate feeds: towers, luxury arcologies, corporate hotels, immaculate public spaces, security drones, and the surviving institutions of civic government. Status: Council-controlled. Known for: Arcologies, luxury towers, and curated civic space. Access: Credentialed transit and dense surveillance. Visual direction: A precise street-level canyon of maintained towers and luxury arcologies, immaculate public space, discreet security drones, credentialed transit, and small human figures moving under quiet surveillance. Power should read through cleanliness, scale, and restraint rather than excessive signage or ornament. Use a grounded semi-photorealistic Cybermancy aesthetic: believable near-future cyberpunk, lived-in human activity, functional technology, physically plausible architecture and materials, visible maintenance and repair, muted charcoal and steel colors, cool teal-blue ambient light, restrained amber-orange practical light, Seattle atmospheric depth, readable shadows, and selective technological or Resonance glow only where motivated. Compose as a 3:2 landscape environment suitable for an atlas lore panel, with a clear focal structure, foreground human scale, midground activity, and geographic context in the background. Avoid: do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena; text, captions, logos, readable signage, labels, maps, diagrams, borders, stat blocks, UI or HUD overlays, pseudo-writing, copyrighted character likenesses, cartoon or anime treatment, superhero styling, generic space-marine imagery, glossy plastic, excessive chrome, rainbow neon, unexplained glowing clutter, sterile utopian futurism, muddy darkness, or an uninhabited generic cyberpunk city.",district-corporate-core.webp,Generated from districts.geojson feature 1; GM notes intentionally excluded from image prompt.
true,district-2-queen-anne,district,primary,districtEnvironment,region-101-seattle,Seattle,Queen Anne,queen-anne,districts.geojson,2,Seattle Atlas,canonical-geojson,high,Polygon,SEATTLE DISTRICT,corporate,3:2,1536x1024,medium,false,"Historic houses have become executive compounds and boutique arcologies. The hill is easy to defend, and this is where wealthy Seattle tells itself that civilization survived. Status: Executive residential zone. Known for: Compounds, boutique arcologies, and the Space Needle. Access: Controlled hill approaches.","An elevated residential street on a defensible hill, where restored historic houses stand beside boutique arcologies and landscaped executive compounds. Include controlled approaches and a distant view toward the Space Needle, with premium materials and discreet security embedded into an older neighborhood fabric.",Use public atlas canon only. Preserve recognizable Puget Sound geography and the subject's relationship to adjacent districts or routes.,"do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena","Create original Cybermancy lore artwork for Queen Anne, a cinematic district establishing image. Canonical context: Historic houses have become executive compounds and boutique arcologies. The hill is easy to defend, and this is where wealthy Seattle tells itself that civilization survived. Status: Executive residential zone. Known for: Compounds, boutique arcologies, and the Space Needle. Access: Controlled hill approaches. Visual direction: An elevated residential street on a defensible hill, where restored historic houses stand beside boutique arcologies and landscaped executive compounds. Include controlled approaches and a distant view toward the Space Needle, with premium materials and discreet security embedded into an older neighborhood fabric. Use a grounded semi-photorealistic Cybermancy aesthetic: believable near-future cyberpunk, lived-in human activity, functional technology, physically plausible architecture and materials, visible maintenance and repair, muted charcoal and steel colors, cool teal-blue ambient light, restrained amber-orange practical light, Seattle atmospheric depth, readable shadows, and selective technological or Resonance glow only where motivated. Compose as a 3:2 landscape environment suitable for an atlas lore panel, with a clear focal structure, foreground human scale, midground activity, and geographic context in the background. Avoid: do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena; text, captions, logos, readable signage, labels, maps, diagrams, borders, stat blocks, UI or HUD overlays, pseudo-writing, copyrighted character likenesses, cartoon or anime treatment, superhero styling, generic space-marine imagery, glossy plastic, excessive chrome, rainbow neon, unexplained glowing clutter, sterile utopian futurism, muddy darkness, or an uninhabited generic cyberpunk city.",district-queen-anne.webp,Generated from districts.geojson feature 2; GM notes intentionally excluded from image prompt.
true,district-3-helios-corridor,district,primary,districtEnvironment,region-101-seattle,Seattle,Helios Corridor,helios-corridor,districts.geojson,3,Seattle Atlas,canonical-geojson,high,Polygon,SEATTLE DISTRICT,corporate,3:2,1536x1024,medium,false,A dense biomedical research corridor dominated by the five-building Helios campus and its elevated central platform. Its skyline has become inseparable from stories of Aurum Rex. Status: Biotech and research enclave. Known for: The five-building Helios campus. Access: Corporate streets and restricted laboratories.,"A dense biomedical district organized around five research towers and an elevated central platform, with enclosed walkways, restricted laboratory entrances, clinical transit, and quiet corporate security. The campus should feel advanced, functional, and faintly unsettling without revealing hidden campaign truths.",Use public atlas canon only. Preserve recognizable Puget Sound geography and the subject's relationship to adjacent districts or routes.,"do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena","Create original Cybermancy lore artwork for Helios Corridor, a cinematic district establishing image. Canonical context: A dense biomedical research corridor dominated by the five-building Helios campus and its elevated central platform. Its skyline has become inseparable from stories of Aurum Rex. Status: Biotech and research enclave. Known for: The five-building Helios campus. Access: Corporate streets and restricted laboratories. Visual direction: A dense biomedical district organized around five research towers and an elevated central platform, with enclosed walkways, restricted laboratory entrances, clinical transit, and quiet corporate security. The campus should feel advanced, functional, and faintly unsettling without revealing hidden campaign truths. Use a grounded semi-photorealistic Cybermancy aesthetic: believable near-future cyberpunk, lived-in human activity, functional technology, physically plausible architecture and materials, visible maintenance and repair, muted charcoal and steel colors, cool teal-blue ambient light, restrained amber-orange practical light, Seattle atmospheric depth, readable shadows, and selective technological or Resonance glow only where motivated. Compose as a 3:2 landscape environment suitable for an atlas lore panel, with a clear focal structure, foreground human scale, midground activity, and geographic context in the background. Avoid: do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena; text, captions, logos, readable signage, labels, maps, diagrams, borders, stat blocks, UI or HUD overlays, pseudo-writing, copyrighted character likenesses, cartoon or anime treatment, superhero styling, generic space-marine imagery, glossy plastic, excessive chrome, rainbow neon, unexplained glowing clutter, sterile utopian futurism, muddy darkness, or an uninhabited generic cyberpunk city.",district-helios-corridor.webp,Generated from districts.geojson feature 3; GM notes intentionally excluded from image prompt.
true,district-4-meridian,district,primary,districtEnvironment,region-101-seattle,Seattle,Meridian,meridian,districts.geojson,4,Seattle Atlas,canonical-geojson,high,Polygon,SEATTLE DISTRICT,street,3:2,1536x1024,medium,false,"Between I-5 and Lake Washington, from the ruined I-90 corridor north to ruined SR-520, Meridian is Seattle's principal staging and trading interface with the Silicon Wilds. Information is currency here: ferries, salvage markets, outfitters, fixers, and brokers move people, rumors, and recovered technology between the city and the Eastside frontier. Status: Professional interface for Seattle's gray and black economies. Known for: Lake Washington ferries, the Seam, salvage markets, fixers, and expedition outfitters. Access: I-5 on the west, Lake Washington on the east, and guarded ferry terminals. Governance: Nominal Seattle authority layered over market customs, broker networks, and venue-specific neutrality. Communities: Traders, runners, ferry crews, salvage brokers, information dealers, and expedition teams. Organizations: Madison Terminal, Leschi Terminal, Afterimage, and the Third Door. Connections: Corporate Core to Meridian to Lake Washington ferries to the Silicon Wilds; returning salvage moves toward Gasworks and corporate buyers.","A busy Lake Washington-facing trade district between I-5 infrastructure and the water: salvage stalls, expedition outfitters, brokers, ferry crews, repaired cargo vehicles, and mixed old-new buildings. Frame the lake and an active terminal in the distance so Meridian reads as Seattle's staging interface with the Eastside frontier.",Use public atlas canon only. Preserve recognizable Puget Sound geography and the subject's relationship to adjacent districts or routes.,"do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena","Create original Cybermancy lore artwork for Meridian, a cinematic district establishing image. Canonical context: Between I-5 and Lake Washington, from the ruined I-90 corridor north to ruined SR-520, Meridian is Seattle's principal staging and trading interface with the Silicon Wilds. Information is currency here: ferries, salvage markets, outfitters, fixers, and brokers move people, rumors, and recovered technology between the city and the Eastside frontier. Status: Professional interface for Seattle's gray and black economies. Known for: Lake Washington ferries, the Seam, salvage markets, fixers, and expedition outfitters. Access: I-5 on the west, Lake Washington on the east, and guarded ferry terminals. Governance: Nominal Seattle authority layered over market customs, broker networks, and venue-specific neutrality. Communities: Traders, runners, ferry crews, salvage brokers, information dealers, and expedition teams. Organizations: Madison Terminal, Leschi Terminal, Afterimage, and the Third Door. Connections: Corporate Core to Meridian to Lake Washington ferries to the Silicon Wilds; returning salvage moves toward Gasworks and corporate buyers. Visual direction: A busy Lake Washington-facing trade district between I-5 infrastructure and the water: salvage stalls, expedition outfitters, brokers, ferry crews, repaired cargo vehicles, and mixed old-new buildings. Frame the lake and an active terminal in the distance so Meridian reads as Seattle's staging interface with the Eastside frontier. Use a grounded semi-photorealistic Cybermancy aesthetic: believable near-future cyberpunk, lived-in human activity, functional technology, physically plausible architecture and materials, visible maintenance and repair, muted charcoal and steel colors, cool teal-blue ambient light, restrained amber-orange practical light, Seattle atmospheric depth, readable shadows, and selective technological or Resonance glow only where motivated. Compose as a 3:2 landscape environment suitable for an atlas lore panel, with a clear focal structure, foreground human scale, midground activity, and geographic context in the background. Avoid: do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena; text, captions, logos, readable signage, labels, maps, diagrams, borders, stat blocks, UI or HUD overlays, pseudo-writing, copyrighted character likenesses, cartoon or anime treatment, superhero styling, generic space-marine imagery, glossy plastic, excessive chrome, rainbow neon, unexplained glowing clutter, sterile utopian futurism, muddy darkness, or an uninhabited generic cyberpunk city.",district-meridian.webp,Generated from districts.geojson feature 4; GM notes intentionally excluded from image prompt.
true,district-5-old-city,district,primary,districtEnvironment,region-101-seattle,Seattle,Old City,old-city,districts.geojson,5,Seattle Atlas,canonical-geojson,high,Polygon,SEATTLE DISTRICT,street,3:2,1536x1024,medium,false,"Pre-Razz buildings, alleys, and surviving underground spaces support legitimate commerce by day and runners, smugglers, unlicensed cyberware, and information markets after dark. Status: Dense mixed-control district. Known for: Old infrastructure and underground markets. Access: Active by day; selectively lawless after dark.","A layered pre-Razz streetscape at dusk: old masonry buildings, narrow alleys, active legitimate storefronts, stairways descending toward surviving underground markets, and a mixed crowd of workers, traders, and runners. Suggest selective lawlessness through watchful behavior and improvised access control, not universal squalor.",Use public atlas canon only. Preserve recognizable Puget Sound geography and the subject's relationship to adjacent districts or routes.,"do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena","Create original Cybermancy lore artwork for Old City, a cinematic district establishing image. Canonical context: Pre-Razz buildings, alleys, and surviving underground spaces support legitimate commerce by day and runners, smugglers, unlicensed cyberware, and information markets after dark. Status: Dense mixed-control district. Known for: Old infrastructure and underground markets. Access: Active by day; selectively lawless after dark. Visual direction: A layered pre-Razz streetscape at dusk: old masonry buildings, narrow alleys, active legitimate storefronts, stairways descending toward surviving underground markets, and a mixed crowd of workers, traders, and runners. Suggest selective lawlessness through watchful behavior and improvised access control, not universal squalor. Use a grounded semi-photorealistic Cybermancy aesthetic: believable near-future cyberpunk, lived-in human activity, functional technology, physically plausible architecture and materials, visible maintenance and repair, muted charcoal and steel colors, cool teal-blue ambient light, restrained amber-orange practical light, Seattle atmospheric depth, readable shadows, and selective technological or Resonance glow only where motivated. Compose as a 3:2 landscape environment suitable for an atlas lore panel, with a clear focal structure, foreground human scale, midground activity, and geographic context in the background. Avoid: do not reveal or invent GM-only actors, conspiracies, hidden facilities, secret inhabitants, unresolved rumors, or definitive explanations for ambiguous phenomena; text, captions, logos, readable signage, labels, maps, diagrams, borders, stat blocks, UI or HUD overlays, pseudo-writing, copyrighted character likenesses, cartoon or anime treatment, superhero styling, generic space-marine imagery, glossy plastic, excessive chrome, rainbow neon, unexplained glowing clutter, sterile utopian futurism, muddy darkness, or an uninhabited generic cyberpunk city.",district-old-city.webp,Generated from districts.geojson feature 5; GM notes intentionally excluded from image prompt.
