filename,prompt
dock-worker-01,"Photorealistic portrait of a rugged longshoreman in his early 50s, Caucasian male with weathered face, gray beard stubble, orange reflective rain jacket over insulated work clothes, hard hat covered in faded union stickers, thick leather gloves, standing in front of towering shipping containers at the Port of Seattle on a rainy overcast morning, industrial cranes in the distance, cinematic lighting, gritty realism, cyberpunk Seattle 2075, subtle cybernetic retinal implant, no text, no watermark."
dock-worker-02,"Photorealistic portrait of a middle-aged Japanese-American female crane operator, athletic build, yellow reflective safety vest over navy coveralls, white hard hat with headset, confident expression, standing beside a massive cargo crane overlooking container stacks and cargo ships, rainy Seattle harbor, cinematic industrial lighting, realistic near-future cyberpunk aesthetic, subtle cybernetic wrist interface, no text, no watermark."
dock-worker-03,"Photorealistic portrait of a young Samoan cargo handler, muscular build, shaved head, tattoos visible beneath rolled sleeves, orange safety vest, heavy lifting harness, holding cargo manifest tablet beside stacked shipping containers, Seattle docks under cloudy skies, realistic industrial cyberpunk atmosphere, subtle mechanical shoulder augmentation, no text, no watermark."
dock-worker-04,"Photorealistic portrait of an older Black female logistics supervisor, short gray hair, practical waterproof jacket with reflective stripes, digital clipboard in hand, calm authoritative demeanor, container terminal in background with autonomous forklifts, Seattle waterfront, cinematic realism, subtle cybernetic eye enhancement, no text, no watermark."
dock-worker-05,"Photorealistic portrait of a Hispanic male forklift operator in his 30s, reflective jacket, baseball cap beneath hard hat, grease-stained gloves, seated beside heavy cargo equipment, towering cranes and containers behind him, rainy Seattle docks, gritty cyberpunk realism, subtle cybernetic hand prosthetic, no text, no watermark."
dock-worker-06,"Photorealistic portrait of an Indian female customs inspector wearing dark blue inspection jacket and safety vest, carrying handheld cargo scanner, intelligent focused expression, shipping containers and cargo vessels behind her, cinematic overcast lighting, realistic cyberpunk Seattle harbor, subtle neural interface implant behind ear, no text, no watermark."
dock-worker-07,"Photorealistic portrait of a Native American male maintenance mechanic in oil-stained coveralls, carrying industrial wrench over shoulder, reflective vest partially open, standing beside container crane machinery, wet steel docks, cinematic realism, subtle cybernetic knee replacement, no text, no watermark."
dock-worker-08,"Photorealistic portrait of a Vietnamese-American female cargo scheduler, slim build, reflective jacket over office attire, holding ruggedized tablet displaying shipping schedules, rows of colorful containers behind her, Port of Seattle, cinematic industrial lighting, subtle augmented reality contact lenses, no text, no watermark."
dock-worker-09,"Photorealistic portrait of a broad-shouldered Scandinavian male longshoreman with braided blond beard, heavy rain gear, reflective suspenders, cargo hook resting on shoulder, stacked freight containers in misty Seattle harbor background, gritty realistic cyberpunk aesthetic, subtle cybernetic elbow joint, no text, no watermark."
dock-worker-10,"Photorealistic portrait of a young African-American female dock technician, short curly hair beneath hard hat, diagnostic tablet in hand, reflective waterproof jacket, inspecting automated loading equipment, cranes towering behind her, cinematic rainy Seattle waterfront, subtle cybernetic finger enhancements, no text, no watermark."
dock-worker-11,"Photorealistic portrait of a Korean-American male shipping clerk, glasses with augmented display, reflective vest over business casual clothing, carrying stack of cargo manifests, busy container terminal behind him, overcast Seattle docks, realistic cyberpunk style, no text, no watermark."
dock-worker-12,"Photorealistic portrait of a stocky Irish-American male diesel mechanic with thick red beard, welding goggles raised above hard hat, grease-covered gloves, standing beside massive cargo loader, rainy industrial dock environment, cinematic realism, subtle cybernetic shoulder actuator, no text, no watermark."
dock-worker-13,"Photorealistic portrait of a middle-aged Filipina female inventory manager, calm expression, reflective vest over insulated jacket, scanning cargo labels with handheld device, stacked shipping containers and harbor cranes behind her, Seattle waterfront, realistic cyberpunk atmosphere, subtle retinal HUD implant, no text, no watermark."
dock-worker-14,"Photorealistic portrait of a young Latino male rigger climbing specialist, safety harness, climbing helmet, heavy rope coiled over shoulder, standing beneath towering cargo crane, dramatic industrial perspective, rainy Seattle harbor, gritty photorealistic cyberpunk style, subtle cybernetic balance implant, no text, no watermark."
dock-worker-15,"Photorealistic portrait of a middle-aged Chinese-American female hazardous cargo inspector, yellow raincoat over protective gear, holding radiation detector, serious expression, cargo containers marked for inspection behind her, cinematic industrial lighting, subtle cybernetic ocular enhancement, no text, no watermark."
dock-worker-16,"Photorealistic portrait of a tall Ethiopian male dock foreman, reflective supervisor jacket, digital radio clipped to chest, directing cargo operations with confident posture, shipping cranes and autonomous trucks behind him, Seattle harbor, cinematic realism, subtle cybernetic voice enhancement implant, no text, no watermark."
dock-worker-17,"Photorealistic portrait of a young white female autonomous vehicle technician, tool pouch at belt, reflective vest, kneeling beside self-driving cargo tug, rainy container yard in Seattle, realistic cyberpunk industrial setting, subtle cybernetic interface jack at temple, no text, no watermark."
dock-worker-18,"Photorealistic portrait of an older Pacific Islander male harbor security worker, weathered face, reflective security jacket, standing watch beside fenced shipping lanes, cargo ships and cranes fading into fog, cinematic Seattle cyberpunk aesthetic, subtle cybernetic hearing enhancement, no text, no watermark."
dock-worker-19,"Photorealistic portrait of a young Middle Eastern male cargo drone technician, carrying compact quadcopter inspection drone, reflective jacket, standing among stacked containers and loading equipment, rainy Port of Seattle, near-future cyberpunk realism, subtle cybernetic wrist control implant, no text, no watermark."
dock-worker-20,"Photorealistic portrait of a female Eastern European longshore worker in her late 40s, muscular build, reflective rain gear, heavy cargo chain draped over shoulder, determined expression, industrial shipping docks with cranes and container ships in the background, cinematic overcast Seattle lighting, realistic cyberpunk aesthetic, subtle cybernetic spinal reinforcement, no text, no watermark."
