name,slug,description,tier,baseScore,majorThreshold,severeThreshold,armor_features_flat
Bare Bones,bare-bones,"<p></p><p class=""Body-Foundation"">When you choose not to equip armor, you have a base Armor Score of 3 + your Strength and use the following as your base damage thresholds:</p><ul><li class=""vertical-card-list-found""><em><strong>Tier 1:</strong></em> 9/19</li><li class=""vertical-card-list-found""><em><strong>Tier 2:</strong></em> 11/24</li><li class=""vertical-card-list-found""><em><strong>Tier 3:</strong></em> 13/31</li><li class=""vertical-card-list-found""><em><strong>Tier 4:</strong></em> 15/38</li></ul>",1,3,9,19,
Composite Riot Carapace,composite-riot-carapace,"Full-coverage composite plating over impact mesh. Heavy, loud, and built to walk through riots.",1,4,8,17,
Impact-Padded Street Vest,impact-padded-street-vest,"A padded street vest with shock-absorbing gel plates—cheap insurance against fists, batons, and stray shrapnel.",1,3,5,11,
KevFlex Jacket,kevflex-jacket,Lightweight synthetic leather threaded with flexible Kevlar weave—keeps you quick without feeling naked.,1,3,6,13,
Slash-Resistant Polymer Jacket,slash-resistant-polymer-jacket,Medium-weight body armor woven from advanced polymer rings designed to resist slashes and punctures—perfect for Megatropolis alleys.,1,4,7,15,
Advanced Slash-Resistant Jacket,advanced-slash-resistant-jacket,Polymer-link weave with ceramic micro-scales; shrugs off knives and claws.,2,5,11,24,
Auto-Heal Laminate,auto-heal-laminate,"Self-tightening fibers that cinch when stressed, buying you precious seconds before a breach.",2,4,9,21,
CeramSteel Chest Rig,ceramsteel-chest-rig,Ceramic-steel sandwich paneling that hardens under impact—your torso becomes a problem for bullets.,2,4,9,20,
Elundrian Chain Mail,elundrian-chain-mail,,2,4,9,21,
Enhanced Riot Carapace,enhanced-riot-carapace,"Optimized riot carapace with servo assists at the knees and shoulders—still heavy, now meaner.",2,5,13,28,
Ghoststep Weave,ghoststep-weave,Sound-dampened cloth and frictionless seams—made for slipping past guards and cameras alike.,2,5,8,18,
Hope Bank Vest,hope-bank-vest,Embedded charge cells let you spend armor power instead of precious morale in tight spots.,2,5,11,23,
KevFlex Jacket Mk II,kevflex-jacket-mk-ii,"Upgraded synthetic leather with doubled Kevlar threading—lightweight, better seams, cleaner lines.",2,4,9,20,
Kinetic Shift Harness,kinetic-shift-harness,"Micro-actuators twitch armor segments just before impact, deflecting strikes at the last millisecond.",2,4,9,20,
Reinforced Street Vest,reinforced-street-vest,"Up-armored padding with denser gels and better dispersion. Looks cheap, works miracles.",2,4,7,16,
Assault Carapace,assault-carapace,Assault-rated composite plating with shock collars and full-joint reinforcement. Try not to run.,3,6,15,35,
Bellamoi Fine Armor,bellamoi-fine-armor,,3,5,11,27,
Failsafe Exo-Plate,failsafe-exo-plate,"When life hits critical, an emergency surge routes damage to the frame while you grit your teeth.",3,5,11,27,
KevFlex Trench,kevflex-trench,Long-cut coat with segmented Kevlar—style and survivability in one package.,3,5,11,27,
Kinetic-Only Bulwark,kinetic-only-bulwark,Optimized to blunt physical force; don’t expect it to help against witchware or weird grids.,3,6,16,39,
Monett's Cloak,monett-s-cloak,,3,6,16,39,
Pain Route Harness,pain-route-harness,"Routes shock into your nervous system—hurts like hell, but the armor holds.",3,6,17,43,
Razor-Stud Carapace,razor-stud-carapace,Barbs and razor-studs turn every clinch into a mistake—for them.,3,5,10,25,
Slash-Resistant Polymer Coat,slash-resistant-polymer-coat,"Full-length polymer-link coat—blades skate, you keep walking.",3,6,13,31,
Tactical Gel Suit,tactical-gel-suit,"Combat-grade gel padding bonded to compression mesh—soaks hits, keeps you moving.",3,5,9,23,
Caster’s Conduit Harness,caster-s-conduit-harness,"Latticed conduits that route arcane surge cleanly—focus in, cast true.",4,5,13,36,
Double-Buffer Plating,double-buffer-plating,Overbuilt dampers that soak two steps of hurt every time you brace.,4,4,15,40,
Emberguard Mantle,emberguard-mantle,Heat-reactive panels flare with plasma warnings; anyone who swings in close gets a nasty surprise.,4,6,13,36,
Legendary Assault Carapace,legendary-assault-carapace,Black-ops composite suit meant to take a rocket and keep you upright.,4,7,17,44,
Legendary Gel Suit,legendary-gel-suit,"Top-shelf military gel plates with memory response—light, flexible, absurdly tough.",4,6,11,32,
Legendary KevFlex Trench,legendary-kevflex-trench,A couture armored trench with next-gen weave and embedded countermeasures.,4,6,13,36,
Legendary Polymer Coat,legendary-polymer-coat,Masterwork polymer-link coat—cutter-proof and photogenic.,4,7,15,40,
Savior Polymer Aegis,savior-polymer-aegis,"Last-stand jacket that trades comfort, grace, and everything else for brutal survivability.",4,8,18,48,
Timeslip Silks,timeslip-silks,Exotic silks with micro-time skew—edge reality for a moment when the shot is coming.,4,7,13,36,
Truthlight Carapace,truthlight-carapace,Embedded truth-sensors flare when lies hit the air—corp meetings just got interesting.,4,6,13,36,
