name,prompt
Raz Eel,"Cybermancy adversary portrait, photorealistic mutant electric eel twisted by resonance exposure, translucent flesh revealing glowing organs and nerve bundles, neon blue and violet bioluminescent patterns running beneath the skin, crackling electrical arcs dancing along its body, predatory black eyes, emerging from dark seawater beneath Seattle docks, cyberpunk urban fantasy horror, cinematic lighting, highly detailed creature concept art"
Raz Eel Pack,"Cybermancy adversary scene, pack of resonance-mutated electric eels swarming through flooded dock infrastructure, glowing bodies illuminating murky water, electrical discharges flashing through submerged shipping containers and support pilings, dangerous predator behavior, cyberpunk urban fantasy horror, cinematic atmosphere, photorealistic, highly detailed"
Pierjaw Crab,"Cybermancy adversary portrait, massive mutated crab the size of a small car, armored shell fused with rusted industrial debris and cybernetic scrap, enormous asymmetrical crushing claw lined with metallic teeth, glowing resonance growths beneath cracked carapace, seawater dripping from armor plates, standing on a rain-soaked dock at night, photorealistic monster design, cinematic lighting, highly detailed"
Pierjaw Crab Alpha,"Cybermancy adversary portrait, gigantic resonance-mutated king crab emerging from Puget Sound, massive armored shell covered in barnacles and embedded machinery, glowing eyes, oversized industrial crushing claw capable of flipping vehicles, waves crashing around it, cyberpunk urban fantasy kaiju aesthetic, photorealistic, cinematic lighting, highly detailed"
Mireborn Thrall,"Cybermancy adversary portrait, former dock worker transformed by psychic influence, pale waterlogged skin, black reflective eyes, subtle chitinous growths along neck and shoulders, torn industrial work clothing soaked with seawater, unnatural posture, expressionless face, standing beneath shipping cranes in fog, cyberpunk urban fantasy horror, photorealistic, highly detailed"
Mireborn Thrall Enforcer,"Cybermancy adversary portrait, heavily built drowned laborer corrupted by abyssal influence, swollen musculature, pale gray skin streaked with iridescent resonance patterns, black compound-like eyes, cargo hooks and chains hanging from ruined work gear, standing motionless in ankle-deep water, photorealistic cyberpunk horror, cinematic lighting, highly detailed"
Mireborn Thrall Group,"Cybermancy adversary scene, group of drowned thralls moving in perfect silent coordination across the docks, water dripping from clothing, glowing resonance patterns beneath skin, emotionless black eyes, fog rolling between shipping containers, unsettling hive-mind atmosphere, photorealistic urban fantasy horror, cinematic wide shot, highly detailed"
Bella the Aboleth,"Cybermancy boss adversary portrait, ancient psychic leviathan inspired by aboleth mythology, colossal aquatic creature with translucent bioluminescent skin threaded by glowing data-stream patterns, vast alien eyes filled with impossible intelligence, tendrils trailing like fiber optic cables, awe-inspiring and terrifying, dark ocean depths, cyberpunk urban fantasy, photorealistic, cinematic lighting, highly detailed masterpiece"
Bella in Transport Tank,"Cybermancy story scene, ancient aboleth contained within a massive reinforced mobile aquarium tank mounted on industrial wheels, translucent psychic leviathan suspended in illuminated water, glowing resonance patterns throughout its body, corporate containment equipment and warning lights surrounding the tank, cyberpunk urban fantasy, photorealistic, cinematic composition, highly detailed"
Bella Awakens,"Cybermancy boss encounter scene, ancient psychic aboleth emerging from dark water beneath Seattle docks, reality warping around her presence, holographic memories and distorted reflections floating in the air, glowing resonance energy illuminating cargo cranes and shipping containers, epic cyberpunk fantasy confrontation, photorealistic, cinematic lighting, highly detailed masterpiece"
Bella's Lair,"Cybermancy environment scene, vast submerged cathedral beneath Seattle formed from flooded tunnels, collapsed infrastructure and forgotten transit systems, glowing resonance crystals and bioluminescent life illuminating the depths, schools of Raz Eels swimming through shafts of light, enormous silhouette of Bella visible in the darkness, cyberpunk urban fantasy, photorealistic, cinematic wide shot, highly detailed"
